userId,fieldId,fieldName,fieldVaule
fa586a31e76e5c5767791275c040921cc15f6a2707c2e0b6af0bc5bf5668870a,10,bfi2,0
dac063fd0e7f3cf5e4f858d705859d1ddfd4d3e3f608274541520b15e1c22853,1,STORAGE,1
dac063fd0e7f3cf5e4f858d705859d1ddfd4d3e3f608274541520b15e1c22853,2,LOCATION,1
dac063fd0e7f3cf5e4f858d705859d1ddfd4d3e3f608274541520b15e1c22853,3,CALL_LOG,1
dac063fd0e7f3cf5e4f858d705859d1ddfd4d3e3f608274541520b15e1c22853,4,APP_USAGE,1
dac063fd0e7f3cf5e4f858d705859d1ddfd4d3e3f608274541520b15e1c22853,5,NOTIFICATION,1
dac063fd0e7f3cf5e4f858d705859d1ddfd4d3e3f608274541520b15e1c22853,6,general,0
dac063fd0e7f3cf5e4f858d705859d1ddfd4d3e3f608274541520b15e1c22853,7,gender,
dac063fd0e7f3cf5e4f858d705859d1ddfd4d3e3f608274541520b15e1c22853,8,age,
dac063fd0e7f3cf5e4f858d705859d1ddfd4d3e3f608274541520b15e1c22853,9,education,
dac063fd0e7f3cf5e4f858d705859d1ddfd4d3e3f608274541520b15e1c22853,10,bfi2,0
40c0b5cf5fc213f6f1cd143982e696eb0b7db63e6abb0fab23b075cfa4358395,1,STORAGE,1
40c0b5cf5fc213f6f1cd143982e696eb0b7db63e6abb0fab23b075cfa4358395,2,LOCATION,1
40c0b5cf5fc213f6f1cd143982e696eb0b7db63e6abb0fab23b075cfa4358395,3,CALL_LOG,1
40c0b5cf5fc213f6f1cd143982e696eb0b7db63e6abb0fab23b075cfa4358395,4,APP_USAGE,1
40c0b5cf5fc213f6f1cd143982e696eb0b7db63e6abb0fab23b075cfa4358395,5,NOTIFICATION,1
40c0b5cf5fc213f6f1cd143982e696eb0b7db63e6abb0fab23b075cfa4358395,6,general,1
40c0b5cf5fc213f6f1cd143982e696eb0b7db63e6abb0fab23b075cfa4358395,7,gender,1
40c0b5cf5fc213f6f1cd143982e696eb0b7db63e6abb0fab23b075cfa4358395,8,age,30
40c0b5cf5fc213f6f1cd143982e696eb0b7db63e6abb0fab23b075cfa4358395,9,education,4
40c0b5cf5fc213f6f1cd143982e696eb0b7db63e6abb0fab23b075cfa4358395,10,bfi2,1
287c4fa6f41e7fdaf5d226b90f96b61403a815e4b89e285513e0e0ed2d86bf59,1,STORAGE,0
287c4fa6f41e7fdaf5d226b90f96b61403a815e4b89e285513e0e0ed2d86bf59,2,LOCATION,0
287c4fa6f41e7fdaf5d226b90f96b61403a815e4b89e285513e0e0ed2d86bf59,3,CALL_LOG,0
287c4fa6f41e7fdaf5d226b90f96b61403a815e4b89e285513e0e0ed2d86bf59,4,APP_USAGE,0
287c4fa6f41e7fdaf5d226b90f96b61403a815e4b89e285513e0e0ed2d86bf59,5,NOTIFICATION,0
287c4fa6f41e7fdaf5d226b90f96b61403a815e4b89e285513e0e0ed2d86bf59,6,general,0
287c4fa6f41e7fdaf5d226b90f96b61403a815e4b89e285513e0e0ed2d86bf59,7,gender,
287c4fa6f41e7fdaf5d226b90f96b61403a815e4b89e285513e0e0ed2d86bf59,8,age,
287c4fa6f41e7fdaf5d226b90f96b61403a815e4b89e285513e0e0ed2d86bf59,9,education,
287c4fa6f41e7fdaf5d226b90f96b61403a815e4b89e285513e0e0ed2d86bf59,10,bfi2,0
8544145c2467d369aaa34d571979fe1d6c69b4ed6a94d165e4e1924786013402,1,STORAGE,0
8544145c2467d369aaa34d571979fe1d6c69b4ed6a94d165e4e1924786013402,2,LOCATION,0
8544145c2467d369aaa34d571979fe1d6c69b4ed6a94d165e4e1924786013402,3,CALL_LOG,0
8544145c2467d369aaa34d571979fe1d6c69b4ed6a94d165e4e1924786013402,4,APP_USAGE,0
8544145c2467d369aaa34d571979fe1d6c69b4ed6a94d165e4e1924786013402,5,NOTIFICATION,0
8544145c2467d369aaa34d571979fe1d6c69b4ed6a94d165e4e1924786013402,6,general,0
8544145c2467d369aaa34d571979fe1d6c69b4ed6a94d165e4e1924786013402,7,gender,
8544145c2467d369aaa34d571979fe1d6c69b4ed6a94d165e4e1924786013402,8,age,
8544145c2467d369aaa34d571979fe1d6c69b4ed6a94d165e4e1924786013402,9,education,
8544145c2467d369aaa34d571979fe1d6c69b4ed6a94d165e4e1924786013402,10,bfi2,0
d631650e4d570c7f7917f0f43d801dd1b0771b011f192a91a8f15b5e8a3766c4,1,STORAGE,0
d631650e4d570c7f7917f0f43d801dd1b0771b011f192a91a8f15b5e8a3766c4,2,LOCATION,0
d631650e4d570c7f7917f0f43d801dd1b0771b011f192a91a8f15b5e8a3766c4,3,CALL_LOG,0
